Unnamed: 0,EPA ID,Site Name,City,County,State,Street Address,Zip Code,Region,NPL Status,Partial NPL Deletion,Superfund Alternative Approach,Site-wide Ready for Anticipated Use,Human Exposure Under Control,Groundwater Migration Under Control,Construction Complete,Construction Completion Date,Non-NPL Status Category,Non-NPL Status Subcategory,Non-NPL Status,Site Status,Site Type,Site Type Subcategory,Federal Agency,Native American Interest (NAI),Indian Entity (NAI Status),HRS Score,Federal Facility Indicator,Alias/Alternative Site Name,Non-NPL Status Date,Superfund Site Profile Page URL,RCRA Handler ID - RCRA Handler Name,Latitude,Longitude
0,TX0000605401,4-AY TRUCKING COMPANY,TERRELL,KAUFMAN,TX,1000 BLOCK AIRPORT RD,,R06,Not NPL,No,No,No,Status Unavailable,Status Unavailable,No,,Referred to Cleanup Program,Submitted to or Addressed by Superfund Removal Program,Removal Only Site (No Site Assessment Work Needed),Active,Other,Spill or other one-time event,,No,,,No,,2000-04-29 00:00:00,,,32.735963,-96.275257
1,TXN000606636,A AUTO CRUSHER SALVAGE FIRE,DALLAS,DALLAS,TX,3610 BEDFORD,75212,R06,Not NPL,No,No,No,Status Unavailable,Status Unavailable,No,,Referred to Cleanup Program,Submitted to or Addressed by Superfund Removal Program,Removal Only Site (No Site Assessment Work Needed),Active,Recycling,Automobiles/tires,,No,,,No,,2005-08-30 00:00:00,,,+32.77662,-096.87973
2,TXN000605315,A-1 CUSTOM PACKAGING FIRE RESPONSE,HOUSTON,HARRIS,TX,8960 Spring Branch Dr,77080,R06,Not NPL,No,No,No,Status Unavailable,Status Unavailable,No,,Referred to Cleanup Program,Submitted to or Addressed by Superfund Removal Program,Removal Only Site (No Site Assessment Work Needed),Active,Other,Other,,No,,,No,,2016-05-05 00:00:00,,,29.802831,-95.512043
3,TXN000606625,ABILENE INTERSTATE 20 TRUCK SPILL,ABILENE,TAYLOR,TX,OLD ANSON ROAD AND INTERSTATE 20,,R06,Not NPL,No,No,No,Status Unavailable,Status Unavailable,No,,Referred to Cleanup Program,Submitted to or Addressed by Superfund Removal Program,Removal Only Site (No Site Assessment Work Needed),Active,Other,Spill or other one-time event,,No,,,No,ABILENE I-20 TRUCK SPILL,2005-07-28 00:00:00,,,+32.4906,-099.7483
4,TXD007333743,ACME BRICK HF RELEASE,DENTON,DENTON,TX,228 DANIELS STREET,76205,R06,Not NPL,No,No,No,Status Unavailable,Status Unavailable,No,,Referred to Cleanup Program,Submitted to or Addressed by Superfund Removal Program,Removal Only Site (No Site Assessment Work Needed),Active,Other,Spill or other one-time event,,No,,,No,,2008-03-06 00:00:00,,,,
5,TXN000607416,ACTION RESOURCES TANKER TRUCK HCL SPILL,WHITESBORO,GRAYSON,TX,"W. BOUND STATE HWY 82, 5 MI/E.WHITESBORO",75020,R06,Not NPL,No,No,No,Status Unavailable,Status Unavailable,No,,Referred to Cleanup Program,Submitted to or Addressed by Superfund Removal Program,Removal Only Site (No Site Assessment Work Needed),Active,Other,Spill or other one-time event,,No,,,No,,2012-05-09 00:00:00,,,+33.642062,-096.800537
6,TXN000605081,ADDISON MERCURY RESPONSE,ADDISON,DALLAS,TX,4101 Rush Circle,75001,R06,Not NPL,No,No,No,Status Unavailable,Status Unavailable,No,,Referred to Cleanup Program,Submitted to or Addressed by Superfund Removal Program,Removal Only Site (No Site Assessment Work Needed),Active,Other,Other,,No,,,No,,2015-07-06 00:00:00,,,32.947651,-96.843171
7,TXN000607072,AGE REFINERY,SAN ANTONIO,BEXAR,TX,7811 SOUTH PRESA ST,78223,R06,Not NPL,No,No,No,Status Unavailable,Status Unavailable,No,,Referred to Cleanup Program,Submitted to or Addressed by Superfund Removal Program,Removal Only Site (No Site Assessment Work Needed),Active,Recycling,"Chemicals/chemical waste (e.g., solvent recovery)",,No,,,No,AGE REFINING,2010-05-06 00:00:00,,,+29.348349,-098.461144
8,TXN000606820,AGRIFOS PHOSPHORIC ACID RELEASE,PASADENA,HARRIS,TX,2001 JACKSON ROAD,77056,R06,Not NPL,No,No,No,Status Unavailable,Status Unavailable,No,,Referred to Cleanup Program,Submitted to or Addressed by Superfund Removal Program,Removal Only Site (No Site Assessment Work Needed),Active,Other,Spill or other one-time event,,No,,,No,AGRIOS PHOSPHORIC ACID RELEASE,2013-01-02 00:00:00,,,+29.7458,-095.2647
9,TX0000605410,AIMCOR,[Blank City],[Blank County],TX,Postal Address is unavailable for the Site,,R06,Not NPL,No,No,No,Status Unavailable,Status Unavailable,No,,Referred to Cleanup Program,Submitted to or Addressed by Superfund Removal Program,Removal Only Site (No Site Assessment Work Needed),Active,Other,Spill or other one-time event,,No,,,No,,2000-06-21 00:00:00,,,,
